main_headline,classification
MASSACHUSETTS LEADERS WARNED.; Senator Hanna Says State Is a Hotbed of Anti-Imperialism.,7.0
"VIRGINIA TOBACCO EXPORTS.; One Firm Has Sent $3,500,000 Worth to Italy and Austria.",9.0
J.C. PHILLIPS NEARLY DROWNED; He Tried to Save a Helpless Friend and Was Himself Overcome.,7.0
KING HUMBERT'S FUNERAL; Rome Mourns as the Cortege Passes Through Her Streets. ONE PANIC MARRED THE MARCH King Victor Followed His Father's Body on Foot -- An Imposing Scene at the Mass in the Pantheon.,2.0
Obituary 1 -- No Title,7.0
Front Page 2 -- No Title,7.0
RAILWAY STATEMENTS.,7.0
THE NEWS OF NEWPORT.,7.0
"TRYING OUT THE CHORUS; Girls with Awe Tread the Stage Nordica Graced. THE ""MUSIC TEACHER VICTIMS"" Scenes at the Metropolitan While the Management Tests English Opera Company Aspirants.",6.0
GRAND ARRAY OF YACHTS; New York Yacht Club's Big Representation in Newport Harbor. RAINBOW LED THE FLEET Her Large Margin Over the Other Seventy-Footers in the Race from New London.,9.0
BULLION AND MINING.,7.0
IN THE REAL ESTATE FIELD; Little of Interest at Private Contract -- The Day's Results at Auction -- Other Items.,9.0
Front Page 4 -- No Title,7.0
ELIZABETH ITALIANS PARADE.; Various Societies Honor the Dead King Humbert.,9.0
Remittances to Troops in China.,7.0
TO IMPROVE IMMIGRATION.; Washington Officials in Canada Attempting to Effect Joint Methods of Examination.,9.0
TEXT OF AMERICAN DEMAND.,7.0
CONTROLLER COLER'S ESSAY.,1.0
ALLIES CAPTURE YANG-TSUN.,7.0
EUROPEANS IN CHINESE RANKS?,7.0
Freight Wreck on New York Central.,7.0
HOT WEATHER IN CHICAGO.; Record Broken with 95 Degrees -- Four Deaths.,7.0
"THE GERMAN ""COMMANDER IN CHIEF.""",10.0
MR. MANLEY'S UNEASINESS.; Fears Overconfidence in the Republican Ranks -- Hears Views of Anti-Bryan Democrats.,7.0
HILL-COLER CONFERENCE; Ex-Senator's Visit Here Starts Many Rumors of Alliances. Controller's Friends Say Confidently That He Will Run for Governor -- McLaughlin Favors Him.,1.0
DELAY IN GARDINER CASE.; Gov. Roosevelt Will Not Consult with Attorney General on the Wilcox Report Till Next Week.,7.0
PLOT TO CAPTURE ROBERTS; All the British Officers in Pretoria Were to be Killed. Ten of the Ringleaders Have Been Jailed -- Part of Johannesburg Conspiracy.,7.0
GOV. ROOSEVELT TO SPEAK.,7.0
THE LONDON MARKET.,7.0
THE PRESIDENT'S AUTUMN PLANS.; Will Return to Washington Next Week -- The Trip to Chicago.,7.0
"MINISTERS URGED TO LEAVE.; French Ambassador Reports 800 Foreigners and 3,000 Native Christians Must Go with Them.",7.0
Article 6 -- No Title,7.0
Mantle Leaves Silver Republicans.,7.0
"SORRY HE KILLED STEIN; Joseph Rabiner, the Homicide, Regrets His Deed. BITTER AGAINST THE FATHER Declares in Letter to Newspapers that He Was Neglected, Though a Con- sumptive -- The Aunt's Story.",9.0
GERMAN CHESS TOURNAMENT.,1.0
Front Page 5 -- No Title,7.0
TOPICS OF THE TIMES.,1.0
RICHMOND'S MEMORIAL SERVICES.,7.0
STEUBEN MEN INDORSE HILL.; They Pass Eulogistic Resolutions -- County Ticket Nominated.,7.0
"MOLINEUX EXPERTS' CHARGES OVER $50,000; Col. Gardiner Considers Prof. Witthaus's Claims Excessive. SCHEDULE OF UNPAID BILLS Controller Objects to Paying $50 a Day for Handwriting Testimony -- City Employe's Demand.",2.0
"BOYS RESCUE A COMRADE; Courageous and Persistent, they Dive Again and Again. Another Foils Their Efforts in His Terror -- Fox and ""Yellow,"" the Life Savers.",7.0
Not a Free Port After 1900.,7.0
SUNSTROKE'S PECULIAR EFFECT.; Young Girl's Condition Baffles Skill of New Jersey Doctors.,7.0
"W.K. VANDERBILT INTERVIEWED.; Says, in London, that McKinley's Election Is a Moral Certainty.",7.0
TREATY OF PARIS EFFECTIVE.,7.0
PLAGUE IN HAMBURG.; Confirmation of One Case Received in Washington.,7.0
"HUGH McLAUGHLIN'S REPLY.; Reads Coler on Commercialism, Then Talks of Peconic Bay Fishing -- Controller May Visit Him.",7.0
A LOVING CUP FOR HARVARD.; Cuban Teachers Will Present the Testimonial for Courtesies Received.,4.0
MARKET CONDITIONS.,9.0
DEFINES IMPERIALISM.,7.0
WOULD MARRY CHINAMAN.; Mother of Florence Marks Expects to be on Hand.,7.0
GORMAN OUT OF POLITICS.; Maryland ex-Senator Refuses Even to Discuss the Campaign.,3.0
Barnett -- Payne.,7.0
John Russell Young's Paper Sold.,7.0
COLONY AT CUXHAVEN.; Hamburg-American Line Will Sail from There When Work Is Complete.,9.0
FIERCE FIGHT WITH A BURGLAR.; Blow from Intruder's Knife Severs Farmer's Watch Chain.,9.0
Siberian Railway Open to Lake Baikal.,7.0
PRINCE TUAN'S PEDIGREE SHADY.,7.0
Front Page 1 -- No Title,7.0
Army Transports Reach Nagasaki.,7.0
SITUATION MUCH IMPROVED.,7.0
Mr. Bryan's Speech.,7.0
"CANADIANS ARE DISGUSTED.; Next Time, They Say, They Will Stay at Home and Mind Their Business.",7.0
Child Killed by Trolley Car.,7.0
BROOKLYN ELEVATED CROWDS.,7.0
Article 2 -- No Title,7.0
"HARPER PROPERTY SOLD.; Bought by Chairman Orr of Reorganization Committee for $1,100,000.",9.0
Troops and Kurds Massacre Armenians.,7.0
THE TOMBS OF THE PROPHETS.,7.0
PANDEMONIUM IN PRISON.; Inmates of White Plains Jail Resent Being Locked In.,9.0
"CHILD SAVES HIS OWN LIFE.; Loses Balance in High Window, but Holds Fast to Sill.",7.0
Heat Made Her Insane.,7.0
Colombia's New Cabinet.,7.0
REAL ADVANCE BEGINS AUG. 15.,7.0
"ATTITUDE OF THIS COUNTRY.; Von Waldersee Favored, but His Powers Must Be Defined Before His Appointment Is Sanctioned.",9.0
Article 4 -- No Title,7.0
Article 3 -- No Title,7.0
Costly Suit Over a Hog.,7.0
EVEN-HANDED JUSTICE.,7.0
Penalty.,7.0
Canal Company's Appeal Ineffective.,7.0
Jumped from a State House Dome.,7.0
PURPOSE OF PRESENT FIGHTING.,7.0
HOUSES ARE GIVEN AWAY.; Railroad Company Had to Clear Land -- New Orleans Men Profited.,7.0
DE WET CROSSES THE VAAL.; Methuen Engages Part of His Forces -- The Captured Eland's River Garrison.,7.0
Article 5 -- No Title,7.0
MORE GERMAN TROOPS.,7.0
DEATHS REPORTED AUG. 10.; Manhattan and Bronx.,1.0
A Champion of Kipling.,7.0
Child Killed by Ice Cream.,7.0
Declines Nomination to Congress.,7.0
FIELD OPEN SAYS PLATT; Intimates that Odell May Be Nominee for Governor. HE REFERS TO GOV. ROOSEVELT The Senator Declares that He Opposes Men Who Consider Themselves Better than Their Party.,9.0
HAVRE STRIKE IS ENDED.; Stokers Accept Compromise -- L'Aquitaine to Return to the Port.,2.0
Free Soil and Border Ruffian Days.,7.0
Velodrome Racing at Hartford.,7.0
Plans for Cuban Teachers' Tour.,7.0
Fannie McPherson's Protector.,7.0
Fierce Heat Drives Man Insane.,7.0
"SCOTLAND.; Volume I. of Andrew Lang's History, Beginning with the Roman Conquest.",2.0
To Start on the Oregon Railroad.,7.0
NOTES OF INSURANCE INTERESTS.,7.0
Article 11 -- No Title,7.0
"Drowned Near Watertown, N.Y.",7.0
Entries for Tennis Tournament.,7.0
"CAPT. CARTER GOT $450,000; Father-in-Law Says He Received the Bonds from Mr. Greene. DECLINED TO COMMIT PERJURY Mr. Westcott's Explanation of His Power of Attorney -- The ex-Captain's Savannah Loans.",1.0
MINISTER CONGER'S MESSAGE.,7.0
THE WALLACE COLLECTION.,7.0
STRENGTH OF THE ALLIES.,7.0
A BIBLIOGRAPHICAL INSTITUTE.,7.0
"12,000 CHINESE FROM SOUTH.",7.0
CROWDS IN THE PANTHEON.; They View the Casket Containing King Humbert's Body -- Victor Receives Diplomats.,2.0
Prostrations In Cleveland.,7.0
ANTI-CLERICAL ORDINANCE.; Three French Tovras Forbid Ecclesiastical Dress in Streets.,7.0
Iowa Social Democrats Nominate.,7.0
Article 5 -- No Title,7.0
Mrs. Nettie. R. Craven Again Beaten.,7.0
MAGGIE MARK NOT FOUND; She and Chinese Sweetheart Still in Hiding. Chinese Laundry In Brooklyn Said to be a Sort of Matrimonial Bureau -- Wing Sing Is the Proprietor.,1.0
BARON RUSSELL IS DEAD; England's Lord Chief Justice Passes Away After a Brief Illness. HIS REMARKABLE CAREER First Irish Catholic Who Ever Held the Post -- His Many Famous Cases -- Lord Alverstone May Suc- ceed Him.,9.0
Front Page 6 -- No Title,7.0
BROWNING AGAIN.; Mr. Waugh's Biography of the Poet in the Westminster Series.,6.0
American Jockeys on Winners.,7.0
Heat Kills Nine In Chicago.,7.0
"FARMER HAS ODD AFFLICTION.; Rode on Train for First Time, and Then Became Deaf and Dumb.",7.0
KAISER'S POLICY CRITICISED.,7.0
COUNTY ATTORNEY TARRED.; Dispute Over an Ohio County Seat Leads to an Outrage on a Youth.,2.0
TEXAS DEMOCRATIC TICKET.; Waco Convention Renominates J.D. Sayers for Governor.,4.0
"A FORGOTTEN HERO.; Matthew Lyon, ""The Hampden of Congress,"" Made to Live Again -- Striking Pictures of His Times.*",6.0
TOPICS OF THE TIMES.,7.0
POWERS'S DEFENSE CLOSED.; Many Believe that the Trial Will End in Disagreement.,7.0
Movements of Naval Vessels.,7.0
Front Page 8 -- No Title,7.0
GRUBER'S DISTRICT PICNIC; People of the Twenty-first at Oscawanna Island. The Leader Has His Picture Taken with a Baby in Each Arm -- Incidents of the Day.,1.0
Fredonia Society Belle Drowned.,7.0
Other Versions.,1.0
Topics of the Week.,7.0
Lock-Out for Paris Cab Drivers.,7.0
Front Page 5 -- No Title,7.0
Fire on Alexandria Bay Islands.,7.0
Canadian Yacht Club's Challenge.,7.0
BIDS FOR ARMOR OPENED; Midvale Enters the Ranks Against the Bethlehem and Carnegie. FORMER MAKES LOWEST BID Bethlehem and Carnegie Bids Are Identical for Half the Amount -- Secretary Long to Decide.,2.0
Syrian Admits Embezzlement.,7.0
Miss Runkle's Romance and Miss Runkle,7.0
JUSTICE WEARS SHIRTWAIST.,7.0
"MYSTERIOUS CHICAGO DEATHS.; Last of Series in a Family, That of Broker Herrick, to be Investigated.",7.0
VERTICAL SYSTEM OF WRITING.,7.0
Authors as Publishers.,7.0
NOTES AND NEWS.; The Cox War Memoirs.,1.0
"FITZSIMMONS WON FIGHT; Scenes of Wild Disorder in Madison Square Garden. RUHLIN WAS KNOCKED OUT The Akron Pugilist, Bruised and Bleeding, Succumbed to Fearful Drubbing in the Sixth Round.",2.0
Successful Trial of Torpedo Finder.,7.0
Alleged Anarchist Strikes Witness.,7.0
APPROVE PRESIDENT'S POLICY.; Montana Methodists Favor Widening of American Influence.,7.0
FOR BETTER BOOKS.; Publishers Take Steps to Induce the Public to Read More Serious Ones.,2.0
Would-Be Suicide Arrested.,7.0
ADVANCE PERHAPS BEGUN.,7.0
Caramel Companies Amalgamate.,7.0
New York May Finance Brewery Deal.,7.0
POINTS A PISTOL AT EMPLOYER.; Watchman Demands Back Pay and Is Locked Up.,2.0
MANY RUSSIAN SUCCESSES.; Charbin and Niu-Chwang Captured -- Chinese Routed Beyond the Amur.,7.0
Article 6 -- No Title,7.0
NORMAN MACK ON COMMITTEE.; Mr. Bryan Promises to Make Several Speeches in New York State.,1.0
TO RELEASE MILITARY PRISONERS; Step Necessary Owing to Overcrowding of the Alcatraz Island Jail.,2.0
Tributes to Lord Russell.,7.0
WALDERSEE'S APPOINTMENT.; Accepted by United States -- He Will Not Travel to China Via America.,4.0
"""AN AMIABLE CHILD.""; Further Facts in the History of the Little Grave at Riverside.",1.0
Year's Hottest Day in Louisville.,7.0
SULTAN ORDERS SHIPS IN KIEL.; Negotiates for Construction of Six Cruisers by German Firm.,2.0
Article 2 -- No Title,7.0
FORTY-SECOND STREET AS AN OBJECT LESSON.,4.0
ANTI-IMPERIALIST CONVENTION; Boston to be Represented by Thirty Delegates In Indianapolis.,7.0
JUMPED FROM FLYING TRAIN.; Farmer and His Wife Unaccustomed to Travel Take a Fatal Leap.,7.0
Boy Fatally Shot While Playing.,7.0
Three Persons Charged with Murder.,7.0
"Water Improvements for Dunkirk, N.Y.",7.0
GEN. HUMPHREY TO SAIL AUG. 15.,7.0
Ladies' Golf Handicaps.,7.0
Golf on the Newport Club Links.,7.0
THE PROSPECT IN CHINA.,7.0
THE PERILS OF A PROPHET.,7.0
May Build Shipyard in Pensacola.,7.0
Carriers Liable for Loss.,7.0
New Material for the Novelists.,7.0
Fifty-one-Year-Old Runner's Record.,7.0
Populist Committee to Meet Aug. 27.,7.0
Front Page 3 -- No Title,7.0
Sympathy for German Socialists.,7.0
Colorado Sues Pullman Company.,7.0
Results of Harness Races.,7.0
RIGHTS AND DUTIES.,7.0
Railroad Man Shot at St. Louis.,7.0
FRENCH TROOPS FOR SHANGHAI.,7.0
Fell Under Train to Death.,7.0
Front Page 7 -- No Title,7.0
L.A.W. Meet at New Bedford.,7.0
BARON RUSSELL OF KILLOWEN.,7.0
Knickerbocker Cricketers Won.,7.0
"Like Stevenson's ""Dynamiter.""",7.0
MAYOR McGUIRE FOR COLER.; Comes Out Boldly for the Controller for Governor.,9.0
Westchester Committee Meeting.,7.0
AMERICANS IN PARIS.,7.0
WHEN BOOKS BECOME TYRANTS.,7.0
Interpretation of the Sonnets.,7.0
CHINA ABOUT TO SUE FOR PEACE; Li-Hung-Chang Receives Power to Negotiate. NO MORE NEWS OF ALLIES Chinese Army Reported Marching on Peking and Tien-Tsin. Russians Win Several Victories In Manchuria -- United States Accepts von Waldersee as Commander in Chief.,4.0
Article 14 -- No Title,7.0
FIRST HONORS FOR PRINCETON.; Receives Grand Prize for College Exhibits at Paris Exposition.,9.0
JUDGMENT AGAINST REDSKINS.; Costs of Suits Brought by Them to Recover Wampum Belts.,7.0
"CHOLERA IN FAMINE DISTRICT.; Committee of One Hundred Receive Cablegram, from Consul Fee.",2.0
Article 9 -- No Title,7.0
In Continental Centres.,7.0
Heavy Damage to Apple Crop.,7.0
Letter to the Editor 1 -- No Title,7.0
Gov. Wood's Trip Through Cuba.,7.0
Items From Boston.,7.0
"Some Discrepancies in ""Henry IV.""",8.0
Maryland Settlers.,7.0
The Big Word Mania Among Scientists.,8.0
Article 8 -- No Title,7.0
ART AND ARTISTS.,7.0
The Mysterious Separate Advance.,7.0
TRAIN ROBBERS KILLED.; One of Those Who Robbed the Union Pacific Train on Sunday Shot and the Other Burned to Death.,4.0
SAVE MAN AND DAUGHTER; Two Doctors Bring Drowning Persons Ashore. Physicians of This City Rescue John M. Scott and Miss Scott from the Sound.,7.0
REAL ESTATE TRANSFERS.,7.0
RUMORS OF STEYN'S SUICIDE.,7.0
WORD FROM TWO ENVOYS.,7.0
A POINT IN STYLE.,7.0
BOSTON STOCK MARKET.,7.0
MR. McKINLEY BUSY AT CANTON.,7.0
Labor Street Car Company Launched.,7.0
Two Deaths in Milwaukee.,7.0
LONDON LITERARY LETTER,1.0
Coal Found in Alaska.,7.0
"THEODORE O'HARA.; His ""Bivouac of the Dead"" -- The Correct Version and the Incorrect Ones.",1.0
LYDDITE ROUTED CHINESE.,7.0
Total Abstinence Convention Ends.,7.0
Article 12 -- No Title,7.0
GERMANY REQUIRES PASSPORTS.; Assassination of King Humbert Leads to Stringent Rules.,2.0
MARKET CONDITIONS.,1.0
NEBRASKA SUES UNION PACIFIC.; Railroad May Be Forced into Bankruptcy by the State's Action.,9.0
Article 3 -- No Title,7.0
ALABAMA'S TRIAL POSTPONED.,7.0
"HINTS FROM THE MAIL BAG; Robert Louis Stevenson's ""Ticonderoga.""",1.0
SHIPWRECKED IN SALT LAKE.; Party of Omaha Residents Forced to Go 36 Hours Without Water.,7.0
Arrested for Insulting Servia's Queen.,7.0
"BREEZE GIVES NO RELIEF; A Sultry Day with a Hot Wind from the Southwest. CONTINUANCE OF WARM WAVE People Swelter While the Official Thermometer, High Above the Streets, Does Not Go Higher than 94.",6.0
PHILADELPHIA'S DEADLY HEAT.; Five Deaths and Twenty Prostrations from the High Temperature.,7.0
Front Page 1 -- No Title,7.0
Boy Drowned at Long Branch.,7.0
PRIEST MIXES IS POLITICS.; Father Treiss of Pike County Says He Is Exercising His Citizen Rights.,7.0
Child Drowned in Mill Pond.,7.0
AMERICAN POLICY INDORSED.; Japan's Attitude to China Same as That of This Country -- Terms of a Dispatch to Conger Kept Secret.,7.0
"FIRE DESTROYS DINARD HOTEL.; Many Americans Among the Sufferers, but No One Is Injured.",7.0
FUTURE OF THE NOVEL.; An Analysis and a Forecast by Henry James.,9.0
"ARRESTING OFFICER ACCUSED.; Policeman Perkins Charged with Assaulting Fritz Miller, His Wife, and Daughter.",4.0
WHAT IS DOING IN SOCIETY.,7.0
Lineman Killed at Passaic.,7.0
"KNEW EIGHT GENERATIONS.; Funeral of Mrs. Brand, Who Leaves Many Descendants.",7.0
Front Page 2 -- No Title,7.0
Southern Golfers' Tournament.,7.0
NOVEL FETE AT RYE.; Entertainment for Village Improvement on Yacht Club Grounds.,2.0
"SAYINGS OF SA'DI.; Aphorisms Freshly Translated by Sir Edwin Arnold from ""The Rose Garden""",2.0
EX-FIRE CHIEF'S CRIME.; John Hogan Tries to Kill His Wife and Himself -- Friends Call Him Insane.,1.0
STABBED SIX TIMES.; Adam Zimmerman Dies After an Assault by John S. Gunther.,1.0
DROWNING LEADS TO ARRESTS.; Body of a Servant Girl Taken from Sea at Long Branch.,7.0
Article 15 -- No Title,7.0
TO TRY FOES OF SMITH; Gloucester Command Takes Action Against His Assailants. SEVEN MAY BE EXPELLED Court-Martial to Convene Tonight -- Friends of ex-Seventy-first Officer Defend Him.,1.0
SENATOR TILLMAN'S VIEWS.; Says President Should Have Convened Congress Before Sending Troops.,9.0
"WITHDRAW CANDIDATES.; Populists Return, to the Original Basis of Settlement Agreed for Idaho.",7.0
TO MARRY IN PRIVATE CHAPEL.; Wedding of A.M. Sullivan and Miss Keiley Set for Wednesday.,2.0
"CITY'S SUMMER HARVEST; Buyers of the Country Spend Many Millions Here. Over $12,000,000 Left with New York Merchants, Hotel Men, and Theatrical Managers.",9.0
TESTIMONIAL TO HOBSON.; Friends at His Home Will Give Him a Silver Service.,9.0
PHILADELPHIA PRICES.,7.0
Louie Freear Gets L800 Damages.,7.0
LORD RUSSELL'S AMBITION.,7.0
Shakespeare as an Orator.,7.0
BAR HARBOR'S SOCIAL SEASON.,7.0
Music and the Poets.,7.0
COURTRIGHT'S WILL CONTESTED.; Eccentric Hackman's Bequest to Second Wife Causes Trouble.,1.0
KRUEGER NOT TO SURRENDER.,7.0
SULLIVAN COUNTY DELEGATES.; Representatives to the State and Senatorial Conventions Elected.,7.0
Roosevelt in Campaign Dress.,7.0
"W.A. LARNED, TENNIS CHAMPION.; In Final Match at Southampton He Beat Richard Stevens Three Straight Sets.",9.0
DRY ROT DAMAGES GRAPE CROP.; Larse Sections of the Lake Shore Belt Badly Affected.,7.0
Bryan's View of Liberty.,7.0
Obituary Notes.,7.0
"MARSHALL'S MEN ACCUSED.; Badrovito, a Barber, Sues Installment Merchant and Says Comisky's Assistants Wronged Him.",9.0
KANSAS WHEAT CROP.; Largest Ever Grown in Any State -- Corn in Bad Condition.,7.0
OUTSIDE SECURITIES.,7.0
"""Bequeathed.""",7.0
"A ""PRACTICAL"" VIEW OF MR. COLER.",7.0
CHICAGO QUOTATIONS.,7.0
TROTTING DRIVER SUSPENDED.; Judges at Poughkeepsie Punished O'Brien for Suspected Fraud in a Race.,2.0
GOVERNMENT COTTON REPORT.,7.0
Librarian Putnam in Berlin.,7.0
More Rebel Defeats in Colombia.,7.0
Article 13 -- No Title,7.0
MR. CARNEGIE'S WARNING.; Opposes America Acting in Conjunction with Other Powers -- United States the Natural Mediator.,9.0
DEWEY DENIES INTERVIEW.; Admiral Repudiates Alleged Remarks Regarding China and Philippines.,9.0
RELIGIOUS NEWS AND NOTES; Episcopal Clergy Discuss Probability of a Bishop Coadjutor. Believed that Bishop Potter Will Broach Subject at Next Diocesan Convention -- Eligible Names Mentioned.,1.0
More Teams from Manila.,7.0
Article 4 -- No Title,7.0
"MAN WITH ALIASES HELD.; Blackwell, Arrested Here, Accused of Being One of a Gang of Gold Brick Swindlers.",9.0
Article 7 -- No Title,7.0
Drowned In the Passaic.,7.0
Man Drowned at Newburg.,7.0
Fourth-Class Postmasters.,7.0
"HUGH W. ADAMS'S SCHEDULES.; The Commission Pig Iron Merchant Shows Liabilities $385,534.",2.0
"ROBBED FARMER WHILE HE SLEPT; Prominent Woman of Oswego County, N.Y., Held by the Grand Jury.",2.0
NO ALLY OF MR. COLER; Ex-Mayor Strong Denies Rumor Which Startles Republicans. If the Controller Should Become a Mayoralty Candidate It Would Be Another Matter.,7.0
Forbids Export of Arms to China.,7.0
MAYOR DIEHL FOR MACKEY.; Is Opposed to Entering the Lists for Governor Himself.,7.0
"OVERSEER OF ZION"" HERE; Dr. Dowie, Divine Healing Teacher, Bound for Holy Land. CLAIMS 50,000 FOLLOWERS He Has Founded a Sect and Accumulated $2,000,000 Worth of Property In and Near Chicago.",1.0
THE LONDON MARKET.,7.0
BONNIBERT WON THE STAKES.; Fleischmann's Colt Beat Alard Scheck and The Parader at Saratoga.,2.0
Officials Inspecting State Canals.,7.0
DJEVAD PASHA DEAD.; Was Grand Vizier of Turkey and Adjutant to Osman Pasha.,1.0
Drowned at Atlantic City.,7.0
"WORLD'S SUPPLY OF COTTON.; Decrease Shown of 1,557,799 Bales Compared with Last Year.",9.0
"McDOWELL, PRESIDING JUDGE.; Col. Simmons's Associate Is Promoted and C.H. Pettingill Will Have Next Place.",2.0
"DUNLAP ON THE STAND.; Merely Manager of the Credit Company, He Says -- His Wife's Stock.",2.0
TO PROMOTE THE READING OF BETTER BOOKS.,3.0
Five Deaths In Pittsburg.,7.0
Yellow Fever Mortality at Havana.,7.0
"JOHN MASON LOOMIS'S WILL.; His Entire Estate Will Eventually Go to Found College in Windsor, Conn.",2.0
IN THE REAL ESTATE FIELD; Apartment Houses Sold on Upper Broadway and West End Avenue -- Other Dealings and Auction Sales.,2.0
Front Page 4 -- No Title,7.0
THE CASE OF FANNIE FRAZIER.; Her Brother Testifies for Her -- Gerry Society's Investigation.,1.0
A PLEA FOR MRS. RADCLIFFE.,7.0
"AN OPEN AIR ""AS YOU LIKE IT.""; Successful Performance of the Comedy at Point Judith Country Club.",2.0
How the McKee Library Will Be Sold.,7.0
MONON MAKES BIG PURCHASE.,7.0
THE NEW BRITISH BONDS.; London Financial Papers Criticise Hicks-Beach -- Say New York Has Become a Great International Market.,4.0
SHIPMENTS OF GOLD.,7.0
SUBMARINE BOAT LAUNCHED.; Mystery Surrounding Building of Torpedo Vessel at Stamford.,7.0
"""Divine Healer"" Got 32,000 Letters.",7.0
THE MANCHESTER BETROTHAL.; Friends of Miss Zimmerman Do Not Think She Will Wed the Duke.,2.0
LI TO BE PEACE NEGOTIATOR.,7.0
Mr. John Malone and Dr. Owen.,7.0
PISTOL USED IN ARGUMENT.,7.0
INVENTOR AT THE WHITE HOUSE.,7.0
Obituary 1 -- No Title,7.0
GOLF AT MONMOUTH BEACH.; Cups and Prizes for Team and Individual Matches by Club Members.,2.0
CRUISERS DESTROY FISHING NETS.; Victims Angry and Appeal to the Colonial Government.,2.0
Why Gen. Sherman Declined the Nominatian in 1884.,9.0
Maine Championship Tennis.,7.0
Roosevelt's Campaign Opens Sept. 20.,7.0
Lieut. Macfarland Returns Home.,7.0
BOOKS AND AUTHORS.,4.0
Shirtwaists at Newport.,7.0
Article 10 -- No Title,7.0
DE WET INTERCEPTED?,7.0
GOVERNMENT CROP REPORT.; Corn Above the Mean of the August Averages -- Tobacco Unfavorable.,1.0
Article 1 -- No Title,7.0
MINEOLA GOT THE RACE; Virginia Was First but Was Disqualified by the Judges. YACHTS IN A BRISK BREEZE Cruising Fleet of the New York Club Had a Fine and Fast Run from Newport.,2.0
"KAT BOTE KLUB'S SCOPE; Rules and ""Buy"" Laws of Newport's Burlesque Institution. Kat But No Bote on the Programme -- Spurs for the Admiral -- The Klub's Anthem.",4.0
"G.A.R. MAY LOSE $10,000.; Chicago May Be Restrained from Contributing to Encampment Expenses.",7.0
Alaska Census Supervisors Missing.,7.0
LESS FREEDOM FOR BOERS; To be More Harshly Treated as Result of Pretoria Plot. Great Indignation Among British Troops -- Suspected Burghers Conducted Across the Border.,2.0
Baroness von Ketteler's Safety.,7.0
FIRE THREATENED LIVES.; A Brooklyn Apartment House Destroyed -- Several Tenants Rescued.,7.0
THE NEWS OF NEWPORT.,7.0
Glass Factories to Start Up Sept. 1.,7.0
Hamburg's Plague Patient Dead.,7.0
Ignorance of Musical History.,7.0
No Real David Harom.,7.0
FINE TENNIS AT LONGWOOD.; Experts Met in Match Play Until Rain Stopped the Games.,2.0
Article 3 -- No Title,7.0
A Moorish Evening.,7.0
The Shah Leaves Paris.,7.0
THE UNITED SERVICE.; Army.,7.0
To Lay the Alaska Cable.,7.0
Seven Deaths in Cleveland.,7.0
RUSSIANS MAY LEAVE PEKING.; Envoy and His Staff Receive Permission from the Czar to Accept Chinese Safe Conduct to Tien-Tsin.,4.0
Front Page 1 -- No Title,7.0
NATIONAL LEAGUE BASEBALL.; Bunched Hits in First Two Innings Won the Game for New York.,1.0
Mme. Shen a Mother.,7.0
CANADA'S COMING ELECTION.; Indications Point to Victory for the Government by a Reduced Majority.,1.0
DIES WHILE DRINKING BEER.; Stranger Enters Red Bank Saloon and Soon Expires.,7.0
American Cyclists on French Tracks.,7.0
"""INTEMPERATE BLUSTERING.""",7.0
"Nicholas II., Emperor of Russia.",7.0
A Mall Delivery Omitted In Newark.,7.0
SCHWEIMLER ARRESTED.; Clerk Who Robbed Frank McKee in Sea Gate Caught in Chicago.,7.0
A Police Justice in a Shirtwaist.,7.0
Free Ice for Syracuse's Poor.,7.0
Receiver for Gold Hill Copper Co.,7.0
CASTLE SQUARE AT MANHATTAN.,7.0
"KING OF SERVIA'S ROMANCE; Grave Political Consequences May Follow His Marriage. A GREAT TRIUMPH FOR RUSSIA Austrian Influences Were All Against It, Likewise the Army, but the People Were with the King.",9.0
TO ABOLISH GOLD ROYALTY.; Dominion Government Will Establish Assay Office In Dawson.,4.0
BELIEVE SHE WAS MURDERED.; Long Branch Authorities Do Not Think Servant Girl a Suicide.,7.0
ENGLISH TENNIS PLAYER WON.; Expert Stevens of Hoboken Badly Beaten at His Own Style of Play.,1.0
Article 7 -- No Title,7.0
YOUTHFUL COUNTERFEITERS.; Arrested in Chicago for Raising and Passing Greenbacks.,1.0
A Russian Farmer In Kansas.,7.0
FOOTBALL DEVICES.; Safety Goal Posts and an Automatic Punter Suggested by Old Players.,1.0
NEW BEDFORD L.A.W. MEET.; Major Taylor's Close Victory In the Mile Open from J.A. Newhouse.,1.0
LONDON CROWDS DEFENDED.,7.0
Building Company Incorporated.,7.0
MR. PEGNAM'S METHODS.,8.0
"SISTERS DROWN, BUT MOTHER IS RESCUED; She with a Friend Vainly Tries to Save Them. PERILS OF OAK POINT BEACH Girls Swept from Shelving Rock by the Swell of a Big Sound Steamboat.",6.0
Extradition Treaty with Spain.,7.0
Over 97 in New Haven.,7.0
LONG BRANCH.,7.0
Women Here and There -- Their Frills and Fancies,9.0
THE NEWS OF NEWPORT.,7.0
ANOTHER CONGER MESSAGE.,7.0
A Haunted Apple Tree.,7.0
Golf Handicap at Newport.,7.0
CRESCEUS BEAT TOMMY BRITTON.; Fast Trotting Stallion Established a New Track Record.,1.0
JAPANESE TROOPS FOR KOREA.,7.0
Prostrations in Rochester.,7.0
LOSSES BY FIRE.,7.0
